月日,曜日,プロジェクト,分類,タスク,開始,終了
2024/04/01,日,プロジェクトA,準備,要件定義準備,09:00,12:00
2024/04/01,日,プロジェクトA,開発,要件定義,13:00,18:00
2024/04/01,日,プロジェクトA,開発,要件定義,19:00,20:00
2024/04/01,日,プロジェクトB,準備,打ち合わせ準備,21:00,22:00
2024/04/02,月,プロジェクトB,特許,特許調査,09:00,12:00
2024/04/02,月,プロジェクトB,特許,特許調査,13:00,17:00
2024/05/01,日,プロジェクトA,準備,要件定義準備,09:00,12:00
2024/05/01,日,プロジェクトA,開発,要件定義,13:00,18:00
2024/05/01,日,プロジェクトA,開発,要件定義,19:00,20:00
2024/05/01,日,プロジェクトB,準備,打ち合わせ準備,21:00,22:00
2024/05/02,月,プロジェクトB,特許,特許調査,09:00,12:00
2024/05/02,月,プロジェクトB,特許,特許調査,13:00,17:00
2024/05/03,月,プロジェクトB,特許,特許調査,09:00,12:00
2024/05/03,月,プロジェクトB,特許,特許調査,13:00,17:00